representation,kv,sharer_layer,codec_layer,frequency_pct,mean_dct_power_unscaled,energy_0_10pct_auxiliary,spectral_centroid_pct_auxiliary
Raw Sharer KV,K,0,4,44.0,2.098990822549675,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,45.0,1.927769546849595,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,46.0,1.7409307949990034,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,47.0,1.6411203528399352,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,48.0,1.4932827676576574,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,49.0,1.3413622167712316,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,50.0,1.1646459239855176,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,51.0,1.0299649642556326,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,52.0,0.9572313993156419,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,53.0,0.9247269729839164,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,54.0,0.9561701609060405,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,55.0,0.9901930078296575,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,56.0,0.9444808859459599,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,57.0,0.8763236462208436,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,58.0,0.8133540155779337,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,59.0,0.720009006823529,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,60.0,0.6835167293436821,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,61.0,0.6322200225715635,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,62.0,0.557544563056435,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,63.0,0.4925586183347332,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,64.0,0.49234316940128325,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,65.0,0.49946755449927854,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,66.0,0.5153095467959068,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,67.0,0.5469763641519236,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,68.0,0.6028869355237115,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,69.0,0.6294522636910548,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,70.0,0.6798661022286977,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,71.0,0.8144869174659831,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,72.0,1.0516458153072747,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,73.0,1.2969791915186215,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,74.0,1.2078899660863678,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,75.0,0.8076476608621305,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,76.0,0.6272325400327103,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,77.0,0.8855899163594596,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,78.0,1.2433212770783577,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,79.0,1.4439116523359545,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,80.0,1.284406201081581,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,81.0,0.9505485936961485,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,82.0,0.6799439310264994,0.9768542151462192,0.8951737485914827
